Duration,Checking account,Credit amount,Purpose,Job ,Job,Sex ,Sex,Checking account ,Purpose ,csv,data_source,Saving accounts,Housing,Risk,Age,value,Unnamed: 0
12,moderate,958,car,1,1,male,male,moderate,car,,kaggle,little,own,good,47,391779,422
24,NA,2578,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,rich,own,good,34,391779,567
36,little,2348,furniture/equipment,2,2,male,male,little,furniture/equipment,,kaggle,little,own,good,46,391779,397
24,,,radio/TV,,,,,,radio/TV,,kaggle,,,good,,391779,
18,little,2389,radio/TV,2,2,female,female,little,radio/TV,,kaggle,little,own,good,27,391779,866
36,,2671,radio/TV,2,2,female,female,,radio/TV,,kaggle,moderate,free,bad,50,391779,607
12,NA,1412,business,3,3,female,female,NA,business,,kaggle,little,own,good,29,391779,85
9,NA,3577,car,2,2,male,male,NA,car,,kaggle,moderate,rent,good,26,391779,859
12,NA,886,radio/TV,2,2,female,female,NA,radio/TV,,kaggle,NA,own,good,21,391779,836
18,moderate,3590,business,0,0,male,male,moderate,business,,kaggle,little,own,good,40,391779,950
9,NA,2507,car,1,1,male,male,NA,car,,kaggle,quite rich,free,good,51,391779,231
12,NA,2292,,3,3,male,male,NA,,,kaggle,little,,,42,391779,412
18,little,2124,furniture/equipment,2,2,female,female,little,furniture/equipment,,kaggle,little,rent,bad,24,391779,761
60,moderate,6288,education,2,2,male,male,moderate,education,,kaggle,little,free,bad,42,391779,938
21,NA,12680,car,3,3,male,male,NA,car,,kaggle,NA,free,bad,30,391779,763
13,moderate,882,radio/TV,2,2,male,male,moderate,radio/TV,,kaggle,little,own,good,23,391779,346
12,little,626,radio/TV,1,1,female,female,little,radio/TV,,kaggle,little,own,bad,24,391779,548
15,little,1433,furniture/equipment,2,2,female,female,little,furniture/equipment,,kaggle,little,rent,good,25,391779,985
10,NA,894,education,2,2,female,female,NA,education,,kaggle,NA,own,good,40,391779,856
18,NA,2238,radio/TV,2,2,female,female,NA,radio/TV,,kaggle,little,own,good,25,391779,385
12,moderate,1158,radio/TV,2,2,male,male,moderate,radio/TV,,kaggle,quite rich,own,good,26,391779,41
18,little,2249,car,3,3,male,male,little,car,,kaggle,moderate,own,good,30,391779,88
12,NA,1185,business,2,2,female,female,NA,business,,kaggle,little,own,good,27,391779,243
12,little,697,car,2,2,male,male,little,car,,kaggle,little,own,bad,46,391779,925
9,rich,745,radio/TV,1,1,female,female,rich,radio/TV,,kaggle,little,own,bad,28,391779,936
12,NA,522,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,quite rich,own,good,42,391779,933
24,rich,3749,furniture/equipment,2,2,female,female,rich,furniture/equipment,,kaggle,little,own,good,26,391779,312
36,little,2145,business,2,2,male,male,little,business,,kaggle,little,own,bad,24,391779,
12,little,1893,car,2,2,female,female,little,car,,kaggle,little,own,good,29,391779,954
42,NA,7166,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,NA,rent,good,29,391779,968
12,rich,1297,radio/TV,2,2,male,male,rich,radio/TV,,kaggle,little,rent,good,23,391779,660
30,moderate,1919,radio/TV,3,3,male,male,moderate,radio/TV,,kaggle,moderate,own,bad,30,391779,935
36,NA,3079,car,2,2,male,male,NA,car,,kaggle,NA,own,good,36,391779,370
12,little,1372,car,2,2,male,male,little,car,,kaggle,little,own,bad,36,391779,566
12,moderate,983,furniture/equipment,1,1,female,female,moderate,furniture/equipment,,kaggle,rich,rent,good,19,391779,391
18,NA,3780,furniture/equipment,3,3,male,male,NA,furniture/equipment,,kaggle,little,own,good,35,391779,824
21,rich,2923,,3,3,female,female,rich,,,kaggle,moderate,own,good,28,391779,982
48,NA,4844,business,3,3,male,male,NA,business,,kaggle,little,rent,bad,33,391779,981
24,NA,1278,radio/TV,3,3,male,male,NA,radio/TV,,kaggle,little,own,good,36,391779,904
48,little,3051,domestic appliances,2,2,male,male,little,domestic appliances,,kaggle,little,own,bad,54,391779,813
36,NA,5711,car,3,3,male,male,NA,car,,kaggle,rich,own,good,38,391779,778
10,NA,1597,car,1,1,male,male,NA,car,,kaggle,quite rich,rent,good,40,391779,413
60,moderate,7418,radio/TV,1,1,male,male,moderate,radio/TV,,kaggle,NA,own,good,27,391779,255
24,little,3123,car,2,2,female,female,little,car,,kaggle,little,own,bad,27,391779,500
9,little,1288,repairs,2,2,male,male,little,repairs,,kaggle,moderate,own,good,48,391779,156
24,NA,5507,repairs,2,2,male,male,NA,repairs,,kaggle,little,free,good,44,391779,520
24,moderate,2760,car,2,2,male,male,moderate,car,,kaggle,NA,free,good,36,391779,198
12,little,701,radio/TV,1,1,male,male,little,radio/TV,,kaggle,little,own,good,40,391779,126
48,moderate,15672,business,2,2,male,male,moderate,business,,kaggle,little,own,bad,23,391779,887
12,little,3386,car,2,2,male,male,little,car,,kaggle,little,free,bad,35,391779,457
30,NA,4530,radio/TV,3,3,female,female,NA,radio/TV,,kaggle,little,rent,good,26,391779,675
24,moderate,1246,car,1,1,male,male,moderate,car,,kaggle,little,own,bad,23,391779,355
36,NA,5742,business,2,2,male,male,NA,business,,kaggle,moderate,own,good,31,391779,671
15,NA,1478,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,little,own,good,33,391779,682
18,NA,4165,business,2,2,male,male,NA,business,,kaggle,little,own,bad,36,391779,827
12,moderate,2002,car,2,2,male,male,moderate,car,,kaggle,little,rent,good,30,391779,923
24,NA,,furniture/equipment,1,1,male,male,NA,furniture/equipment,,kaggle,little,own,good,30,391779,984
18,moderate,1795,radio/TV,1,1,female,female,moderate,radio/TV,,kaggle,little,rent,good,48,391779,801
9,NA,3832,,1,1,male,male,NA,,,kaggle,NA,own,good,64,391779,629
6,rich,709,car,0,0,male,male,rich,car,,kaggle,rich,own,good,27,391779,140
18,little,2600,radio/TV,2,2,male,male,little,radio/TV,,kaggle,little,free,bad,65,391779,624
39,NA,2569,car,2,2,male,male,NA,car,,kaggle,quite rich,own,good,24,391779,476
18,little,1217,domestic appliances,1,1,male,male,little,domestic appliances,,kaggle,little,own,bad,47,391779,588
30,,,business,,,,,,business,,kaggle,,,bad,,391779,
20,moderate,2629,vacation/others,2,2,male,male,moderate,vacation/others,,kaggle,little,own,good,29,391779,442
36,NA,6614,car,3,3,male,male,NA,car,,kaggle,little,own,good,34,391779,888
18,NA,1808,furniture/equipment,2,2,female,female,NA,furniture/equipment,,kaggle,little,own,bad,22,391779,
6,little,1198,education,2,2,female,female,little,education,,kaggle,little,free,bad,35,391779,711
6,NA,250,car,1,1,female,female,NA,car,,kaggle,rich,own,good,41,391779,725
36,NA,10477,car,2,2,male,male,NA,car,,kaggle,NA,free,good,42,391779,902
6,rich,1343,car,2,2,male,male,rich,car,,kaggle,little,own,good,46,391779,871
11,NA,2142,business,2,2,male,male,NA,business,,kaggle,rich,own,good,28,391779,913
12,moderate,1295,car,2,2,,,moderate,car,,kaggle,little,rent,bad,25,391779,10
15,NA,1360,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,little,own,good,31,391779,185
27,little,3416,radio/TV,3,3,male,male,little,radio/TV,,kaggle,little,own,good,27,391779,142
12,NA,1555,repairs,2,2,male,male,NA,repairs,,kaggle,rich,free,bad,55,391779,754
6,rich,2116,furniture/equipment,2,2,male,male,rich,furniture/equipment,,kaggle,little,own,good,41,391779,626
21,little,3414,education,2,2,male,male,little,education,,kaggle,little,own,bad,26,391779,174
12,little,3499,car,2,2,female,female,little,car,,kaggle,little,own,bad,29,391779,129
24,NA,1559,business,2,2,male,male,NA,business,,kaggle,little,own,good,50,391779,843
18,little,2659,furniture/equipment,2,2,male,male,little,furniture/equipment,,kaggle,rich,own,good,28,391779,323
6,rich,709,car,0,0,male,male,rich,car,,kaggle,rich,own,good,27,391779,140
18,NA,1098,radio/TV,0,0,female,female,NA,radio/TV,,kaggle,little,own,good,65,391779,883
15,NA,1471,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,little,free,good,35,391779,852
12,little,1498,radio/TV,2,2,female,female,little,radio/TV,,kaggle,little,own,good,23,391779,934
15,little,1403,car,2,2,female,female,little,car,,kaggle,,rent,good,28,391779,14
18,moderate,1245,radio/TV,2,2,male,male,moderate,radio/TV,,kaggle,little,own,bad,33,391779,474
6,moderate,932,education,1,1,female,female,moderate,education,,kaggle,NA,own,good,39,391779,215
21,little,1647,car,1,1,male,male,little,car,,kaggle,NA,own,bad,40,391779,182
10,NA,2146,furniture/equipment,2,2,female,female,NA,furniture/equipment,,kaggle,little,rent,good,23,391779,372
6,little,428,furniture/equipment,2,2,female,female,little,furniture/equipment,,kaggle,little,own,good,49,391779,750
12,moderate,1410,education,1,1,male,male,moderate,education,,kaggle,little,own,good,31,391779,782
6,little,1374,furniture/equipment,1,1,male,male,little,furniture/equipment,,kaggle,little,own,good,36,391779,25
10,NA,2210,furniture/equipment,1,1,male,male,NA,furniture/equipment,,kaggle,little,rent,bad,25,391779,864
6,little,1361,car,1,1,male,male,little,car,,kaggle,,own,,40,391779,516
24,moderate,4241,business,1,1,male,male,moderate,business,,kaggle,little,own,bad,36,391779,597
9,moderate,1501,education,3,3,female,female,moderate,education,,kaggle,little,own,bad,34,391779,195
6,little,3676,car,2,2,male,male,little,car,,kaggle,little,,good,37,391779,617
12,moderate,1092,radio/TV,2,2,female,female,moderate,radio/TV,,kaggle,little,own,good,49,391779,288
18,moderate,3590,business,0,0,male,male,moderate,business,,kaggle,little,own,good,40,391779,950
8,little,731,car,1,1,male,male,little,car,,kaggle,little,own,good,47,391779,823
24,NA,1311,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,moderate,own,good,26,391779,533
9,NA,2753,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,moderate,own,good,35,391779,688
48,NA,8858,car,2,2,male,male,NA,car,,kaggle,NA,free,good,35,391779,549
9,little,1288,repairs,2,2,male,male,little,repairs,,kaggle,moderate,own,good,48,391779,156
,,,,,,,,,,,kaggle,,,bad,33,391779,419
9,little,1366,radio/TV,2,2,female,female,little,radio/TV,,kaggle,little,rent,bad,22,391779,922
12,NA,797,radio/TV,1,1,female,female,NA,radio/TV,,kaggle,NA,own,bad,33,391779,92
24,rich,5152,radio/TV,2,2,male,male,rich,radio/TV,,kaggle,little,own,good,25,391779,477
15,moderate,1308,repairs,1,1,male,male,moderate,repairs,,kaggle,,own,good,38,391779,641
20,moderate,7057,car,3,3,male,male,moderate,car,,kaggle,NA,rent,good,36,391779,99
12,moderate,1995,car,2,2,male,male,moderate,car,,kaggle,moderate,own,good,27,391779,553
24,little,2812,car,2,2,female,female,little,car,,kaggle,NA,rent,good,26,391779,770
18,NA,1820,car,3,3,male,male,NA,car,,kaggle,little,own,good,30,391779,390
36,moderate,2820,car,2,2,male,male,moderate,car,,kaggle,little,own,bad,27,391779,578
48,moderate,6681,business,2,2,male,male,moderate,business,,kaggle,NA,free,good,38,391779,829
12,little,339,education,1,1,male,male,little,education,,kaggle,little,own,good,45,391779,157
20,moderate,6468,car,3,3,male,male,moderate,car,,kaggle,NA,own,good,60,391779,784
12,NA,1101,car,2,2,male,male,NA,car,,kaggle,little,own,good,27,391779,820
13,NA,1409,radio/TV,2,2,female,female,NA,radio/TV,,kaggle,moderate,own,good,64,391779,987
21,NA,2580,business,1,1,male,male,NA,business,,kaggle,quite rich,own,bad,41,391779,674
6,NA,1338,domestic appliances,2,2,male,male,NA,domestic appliances,,kaggle,quite rich,own,good,62,391779,816
45,moderate,4576,car,2,2,male,male,moderate,car,,kaggle,moderate,own,good,27,391779,999
6,rich,1047,education,1,1,female,female,rich,education,,kaggle,little,own,good,50,391779,664
36,,,domestic appliances,,,,,,domestic appliances,,kaggle,,,good,,391779,
27,little,3416,radio/TV,3,3,male,male,little,radio/TV,,kaggle,little,own,good,27,391779,142
6,NA,1236,car,2,2,male,male,NA,car,,kaggle,quite rich,rent,good,50,391779,695
24,NA,1533,radio/TV,2,2,female,female,NA,radio/TV,,kaggle,little,own,good,38,391779,267
12,moderate,2028,car,2,2,male,male,moderate,car,,kaggle,NA,own,good,30,391779,421
9,moderate,1549,car,0,0,male,male,moderate,car,,kaggle,NA,own,good,35,391779,799
48,moderate,12204,business,3,3,male,male,moderate,business,,kaggle,NA,own,good,48,391779,615
24,moderate,2825,business,2,2,male,male,moderate,business,,kaggle,NA,own,good,34,391779,886
48,moderate,9960,furniture/equipment,2,2,female,female,moderate,furniture/equipment,,kaggle,little,own,bad,26,391779,295
18,moderate,1887,business,2,2,male,male,moderate,business,,kaggle,NA,own,good,28,391779,401
18,,2249,car,3,3,male,male,,car,,kaggle,moderate,own,good,30,391779,88
15,moderate,1778,car,0,0,female,female,moderate,car,,kaggle,little,rent,bad,26,391779,809
24,NA,7393,car,1,1,male,male,NA,car,,kaggle,little,own,good,43,391779,971
36,little,6887,education,2,2,male,male,little,education,,kaggle,little,own,bad,29,391779,131
12,rich,1474,furniture/equipment,3,3,female,female,rich,furniture/equipment,,kaggle,little,own,good,33,391779,34
42,little,7174,radio/TV,3,3,female,female,little,radio/TV,,kaggle,NA,own,bad,30,391779,116
,,,,2,2,female,female,,,,kaggle,rich,own,,30,391779,483
9,,2753,radio/TV,,,,,,radio/TV,,kaggle,,,good,,391779,688
5,NA,3448,business,1,1,male,male,NA,business,,kaggle,little,own,good,74,391779,430
27,NA,2570,car,2,2,female,female,NA,car,,kaggle,little,rent,bad,21,391779,724
30,moderate,2181,car,2,2,male,male,moderate,car,,kaggle,NA,own,good,36,391779,882
27,little,5293,business,2,2,male,male,little,business,,kaggle,little,own,bad,50,391779,212
24,NA,999,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,NA,own,good,25,391779,269
15,NA,4657,car,2,2,male,male,NA,car,,kaggle,little,own,good,30,391779,224
15,rich,2360,car,2,2,male,male,rich,car,,kaggle,quite rich,own,,36,391779,506
12,NA,3527,car,3,3,male,male,NA,car,,kaggle,NA,own,good,45,391779,940
6,little,14896,car,3,3,male,male,little,car,,kaggle,little,own,bad,68,391779,917
12,moderate,1007,car,2,2,male,male,moderate,car,,kaggle,rich,own,good,22,391779,67
48,moderate,15672,business,2,2,male,male,moderate,business,,kaggle,little,own,bad,23,391779,887
18,moderate,6361,furniture/equipment,2,2,male,male,moderate,furniture/equipment,,kaggle,little,own,good,41,391779,
36,,,car,,,,,,car,,kaggle,,,good,30,391779,450
36,moderate,2225,car,2,2,male,male,moderate,car,,kaggle,little,free,bad,57,391779,54
48,little,7685,business,2,2,female,female,little,business,,kaggle,little,rent,bad,37,391779,375
48,NA,11590,car,1,1,female,female,NA,car,,kaggle,moderate,rent,bad,24,391779,333
4,NA,1544,radio/TV,1,1,male,male,NA,radio/TV,,kaggle,little,own,good,42,391779,234
24,little,2439,radio/TV,2,2,female,female,little,radio/TV,,kaggle,little,own,bad,35,391779,862
10,rich,1347,radio/TV,2,2,male,male,rich,radio/TV,,kaggle,NA,own,good,27,391779,686
36,NA,4454,radio/TV,2,2,female,female,NA,radio/TV,,kaggle,little,own,good,34,391779,910
36,NA,3535,car,2,2,male,male,NA,car,,kaggle,little,own,good,37,391779,776
12,little,674,radio/TV,2,2,male,male,little,radio/TV,,kaggle,moderate,own,bad,20,391779,188
36,rich,4473,radio/TV,2,2,male,male,rich,radio/TV,,kaggle,little,own,good,31,391779,328
36,NA,4454,radio/TV,2,2,female,female,NA,radio/TV,,kaggle,little,own,good,34,391779,910
30,moderate,4249,car,3,3,male,male,moderate,car,,kaggle,little,own,bad,28,391779,320
12,rich,609,business,0,0,female,female,rich,business,,kaggle,little,own,bad,26,391779,439
12,moderate,1567,radio/TV,2,2,female,female,moderate,radio/TV,,kaggle,little,,good,22,391779,12
12,NA,1592,furniture/equipment,2,2,female,female,NA,furniture/equipment,,kaggle,rich,own,good,35,391779,897
12,NA,763,furniture/equipment,2,2,female,female,NA,furniture/equipment,,kaggle,little,own,good,26,391779,171
12,little,1657,furniture/equipment,2,2,male,male,little,furniture/equipment,,kaggle,little,own,good,27,391779,260
24,rich,1344,car,1,1,male,male,rich,car,,kaggle,NA,own,bad,37,391779,302
12,NA,2133,car,3,3,female,female,NA,car,,kaggle,NA,free,good,52,391779,584
20,NA,3485,car,2,2,male,male,NA,car,,kaggle,NA,own,good,44,391779,901
15,NA,3812,car,2,2,female,female,NA,car,,kaggle,moderate,own,good,23,391779,258
18,NA,3422,furniture/equipment,2,2,male,male,NA,furniture/equipment,,kaggle,little,own,good,47,391779,844
15,moderate,2728,radio/TV,2,2,male,male,moderate,radio/TV,,kaggle,NA,own,good,35,391779,138
15,little,3643,furniture/equipment,1,1,female,female,little,furniture/equipment,,kaggle,little,own,good,27,391779,319
36,moderate,8086,car,3,3,male,male,moderate,car,,kaggle,moderate,own,bad,42,391779,653
18,NA,,education,2,2,female,female,NA,education,,kaggle,moderate,own,bad,30,391779,331
24,NA,2684,radio/TV,1,1,male,male,NA,radio/TV,,kaggle,little,own,good,35,391779,256
24,little,3552,furniture/equipment,2,2,male,male,little,furniture/equipment,,kaggle,little,own,bad,27,391779,558
12,rich,1881,radio/TV,1,1,female,female,rich,radio/TV,,kaggle,little,rent,good,44,391779,139
18,moderate,6260,car,1,1,male,male,moderate,car,,kaggle,little,rent,good,28,391779,112
15,moderate,2631,car,2,2,female,female,moderate,car,,kaggle,moderate,rent,bad,28,391779,531
15,NA,4657,car,2,2,male,male,NA,car,,kaggle,little,563,good,30,391779,224
9,moderate,790,radio/TV,1,1,female,female,moderate,radio/TV,,kaggle,quite rich,own,good,66,391779,723
12,little,1082,car,2,2,male,male,little,car,,kaggle,little,own,bad,48,391779,835
48,NA,10222,radio/TV,2,2,,,NA,radio/TV,,kaggle,NA,own,good,37,391779,657
8,little,3398,car,1,1,male,male,little,car,,kaggle,little,own,good,39,391779,325
15,NA,1829,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,little,own,good,46,391779,891
10,,,radio/TV,,,,,,radio/TV,,kaggle,,,good,,391779,
48,moderate,8487,car,2,2,female,female,moderate,car,,kaggle,NA,own,good,24,391779,130
10,NA,2901,car,2,2,female,female,NA,car,,kaggle,NA,rent,good,31,391779,767
60,moderate,14027,car,3,3,male,male,moderate,car,,kaggle,little,own,bad,27,391779,714
18,NA,6761,car,2,2,male,male,NA,car,,kaggle,NA,rent,bad,68,391779,846
6,NA,2108,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,little,43,good,29,391779,193
15,little,806,business,1,1,female,female,little,business,,kaggle,little,own,good,22,391779,573
24,little,3349,furniture/equipment,2,2,male,male,little,furniture/equipment,,kaggle,quite rich,free,bad,30,391779,946
24,moderate,1216,,2,2,male,male,moderate,,,kaggle,moderate,own,,38,391779,503
6,little,666,car,1,1,female,female,little,car,,kaggle,rich,own,good,39,391779,250
6,moderate,590,radio/TV,1,1,male,male,moderate,radio/TV,,kaggle,little,own,good,26,391779,806
36,NA,7980,business,2,2,male,male,NA,business,,kaggle,NA,rent,bad,27,391779,645
42,little,7882,furniture/equipment,2,2,male,male,little,furniture/equipment,,kaggle,little,free,good,45,391779,3
12,little,1200,education,2,2,female,female,little,education,,kaggle,NA,rent,good,23,391779,221
48,NA,7238,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,NA,own,good,32,391779,467
11,NA,2142,business,2,2,male,male,NA,business,,kaggle,rich,own,good,28,391779,913
36,NA,9055,education,1,1,male,male,NA,education,,kaggle,NA,free,good,35,391779,5
18,NA,4594,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,little,own,good,32,391779,459
4,NA,1503,radio/TV,1,1,male,male,NA,radio/TV,,kaggle,little,own,good,42,391779,527
24,NA,1552,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,little,own,good,32,391779,547
9,NA,1478,56,2,2,male,male,NA,56,,kaggle,little,own,6,22,391779,228
18,little,1553,furniture/equipment,2,2,male,male,little,furniture/equipment,,kaggle,little,own,bad,44,391779,631
30,little,6350,furniture/equipment,2,2,male,male,little,furniture/equipment,,kaggle,NA,own,bad,31,391779,542
48,little,4605,car,2,2,male,male,little,car,,kaggle,little,free,bad,24,391779,242
15,NA,2186,furniture/equipment,1,1,female,female,NA,furniture/equipment,,kaggle,NA,rent,good,33,391779,898
18,moderate,4297,furniture/equipment,3,3,male,male,moderate,furniture/equipment,,kaggle,little,own,bad,40,391779,199
48,moderate,6416,business,2,2,female,female,moderate,business,,kaggle,little,rent,bad,59,391779,728
48,moderate,3060,radio/TV,2,2,male,male,moderate,radio/TV,,kaggle,little,own,bad,28,391779,273
12,NA,1240,radio/TV,2,2,female,female,NA,radio/TV,,kaggle,NA,own,good,38,391779,135
18,NA,1943,repairs,2,2,female,female,NA,repairs,,kaggle,little,own,bad,23,391779,842
10,NA,1546,car,1,1,male,male,NA,car,,kaggle,little,own,good,31,391779,941
24,moderate,4241,business,1,1,male,male,moderate,business,,kaggle,,own,bad,36,391779,597
24,little,3149,furniture/equipment,2,2,male,male,little,furniture/equipment,,kaggle,little,free,good,22,391779,229
18,NA,2404,radio/TV,2,2,female,female,NA,radio/TV,,kaggle,little,own,good,26,391779,276
12,little,900,car,2,2,male,male,little,car,,kaggle,NA,own,bad,23,391779,661
30,moderate,3441,furniture/equipment,2,2,female,female,moderate,furniture/equipment,,kaggle,,rent,bad,21,391779,618
6,rich,1343,car,2,2,male,male,rich,car,,kaggle,little,own,good,46,391779,871
10,NA,1287,car,1,1,male,male,NA,car,,kaggle,NA,own,good,45,391779,297
4,rich,1494,car,1,1,male,male,rich,car,,kaggle,NA,own,good,29,391779,314
24,moderate,4736,furniture/equipment,1,1,female,female,moderate,furniture/equipment,,kaggle,little,own,bad,25,391779,911
48,little,4788,car,2,2,male,male,little,car,,kaggle,little,own,good,26,391779,286
15,moderate,2631,repairs,1,1,female,female,moderate,repairs,,kaggle,moderate,own,good,25,391779,691
21,little,3357,radio/TV,2,2,female,female,little,radio/TV,,kaggle,rich,own,good,29,391779,612
12,moderate,2762,furniture/equipment,2,2,female,female,moderate,furniture/equipment,,kaggle,NA,own,bad,25,391779,424
24,little,1358,vacation/others,3,3,male,male,little,vacation/others,,kaggle,NA,own,bad,40,391779,594
42,rich,6289,business,2,2,male,male,rich,business,,kaggle,little,own,good,33,391779,986
30,NA,4272,business,1,1,male,male,NA,business,,kaggle,moderate,own,good,26,391779,384
48,NA,3914,business,2,2,male,male,NA,business,,kaggle,NA,own,bad,38,391779,622
24,NA,9277,car,2,2,male,male,NA,car,,kaggle,NA,free,good,48,391779,881
24,little,1285,car,2,2,female,female,little,car,,kaggle,NA,rent,bad,32,391779,755
12,little,7865,furniture/equipment,3,3,male,male,little,furniture/equipment,,kaggle,little,free,bad,53,391779,227
12,NA,1963,radio/TV,3,3,male,male,NA,radio/TV,,kaggle,little,rent,good,31,391779,178
18,little,4380,car,1,1,male,male,little,car,,kaggle,moderate,own,good,35,391779,737
12,little,741,domestic appliances,2,2,female,female,little,domestic appliances,,kaggle,moderate,,bad,22,391779,610
18,NA,1582,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,rich,own,good,46,391779,149
12,,,radio/TV,,,,,,radio/TV,,kaggle,,,good,,391779,
36,moderate,2273,education,2,2,male,male,moderate,education,,kaggle,little,own,good,32,391779,530
10,NA,2069,furniture/equipment,,,male,male,NA,furniture/equipment,,kaggle,NA,,good,26,391779,24
12,NA,976,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,NA,own,good,35,391779,803
21,NA,2288,furniture/equipment,2,2,female,female,NA,furniture/equipment,,kaggle,little,own,good,23,391779,144
6,little,1374,car,3,3,female,female,little,car,,kaggle,NA,own,good,75,391779,536
6,moderate,484,radio/TV,1,1,male,male,moderate,radio/TV,,kaggle,little,own,good,28,391779,811
36,NA,9572,business,2,2,male,male,NA,business,,kaggle,little,own,bad,28,391779,180
12,NA,,business,3,3,female,female,NA,business,,kaggle,little,own,good,29,391779,85
36,little,2712,furniture/equipment,2,2,male,male,little,furniture/equipment,,kaggle,little,own,bad,41,391779,822
24,NA,2538,car,1,1,male,male,NA,car,,kaggle,little,own,bad,47,391779,978
24,little,1659,radio/TV,1,1,female,female,little,radio/TV,,kaggle,little,rent,bad,29,391779,466
12,NA,2748,education,1,1,female,female,NA,education,,kaggle,little,free,good,57,391779,263
10,little,2132,furniture/equipment,2,2,female,female,little,furniture/equipment,,kaggle,NA,rent,good,27,391779,117
12,NA,1163,car,2,2,male,male,NA,car,,kaggle,quite rich,own,good,44,391779,484
13,little,1797,business,1,1,male,male,little,business,,kaggle,little,own,good,28,391779,745
16,little,2625,car,2,2,male,male,little,car,,kaggle,little,rent,bad,43,391779,900
26,moderate,7966,car,2,2,male,male,moderate,car,,kaggle,little,own,good,30,391779,525
6,moderate,932,education,1,1,female,female,moderate,education,,kaggle,NA,own,good,39,391779,215
24,little,1193,car,0,0,female,female,little,car,,kaggle,little,rent,bad,29,391779,972
12,rich,2247,car,2,2,female,female,rich,car,,kaggle,little,own,good,36,391779,362
15,NA,3029,car,2,2,male,male,NA,car,,kaggle,little,own,good,33,391779,749
48,moderate,10961,radio/TV,2,2,male,male,moderate,radio/TV,,kaggle,rich,own,bad,27,391779,226
12,moderate,585,radio/TV,2,2,male,male,moderate,radio/TV,,kaggle,little,rent,good,20,391779,513
36,NA,7127,furniture/equipment,2,2,female,female,NA,furniture/equipment,,kaggle,little,rent,bad,23,391779,517
30,NA,4811,car,1,1,female,female,NA,car,,kaggle,NA,rent,good,24,391779,306
15,NA,1386,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,NA,rent,good,40,391779,903
18,moderate,1301,radio/TV,1,1,male,male,moderate,radio/TV,,kaggle,little,own,good,32,391779,498
12,moderate,2366,car,3,3,male,male,moderate,car,,kaggle,quite rich,own,good,36,391779,119
24,NA,6314,vacation/others,3,3,male,male,NA,vacation/others,,kaggle,little,own,good,27,391779,665
18,little,2473,furniture/equipment,0,0,male,male,little,furniture/equipment,,kaggle,little,own,bad,25,391779,364
20,moderate,6148,car,2,2,male,male,moderate,car,,kaggle,moderate,own,good,31,391779,719
12,NA,930,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,NA,own,good,65,391779,807
11,moderate,4771,radio/TV,2,2,male,male,moderate,radio/TV,,kaggle,little,own,good,51,391779,77
12,rich,409,radio/TV,2,2,,,rich,radio/TV,,kaggle,rich,rent,good,42,391779,27
12,little,1858,furniture/equipment,2,2,female,female,little,furniture/equipment,,kaggle,little,rent,,22,391779,623
26,moderate,7966,car,2,2,male,male,moderate,car,,kaggle,little,own,good,30,391779,525
6,NA,250,car,1,1,female,female,NA,car,,kaggle,rich,own,good,41,391779,725
6,,,car,,,,,,car,,kaggle,,,good,,391779,
12,NA,1493,radio/TV,2,2,female,female,NA,radio/TV,,kaggle,little,own,good,34,391779,638
24,rich,1344,car,1,1,male,male,rich,car,,kaggle,NA,own,bad,37,391779,302
24,rich,3148,radio/TV,2,2,male,male,rich,radio/TV,,kaggle,NA,own,good,31,391779,718
24,little,1371,car,2,2,female,female,little,car,,kaggle,NA,rent,bad,25,391779,775
18,little,2600,radio/TV,2,2,male,male,little,radio/TV,,kaggle,little,free,bad,65,391779,624
36,moderate,6948,car,3,3,male,male,moderate,car,,kaggle,little,rent,good,35,391779,7
9,little,1364,radio/TV,2,2,male,male,little,radio/TV,,kaggle,little,own,good,59,391779,848
12,NA,976,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,NA,own,good,35,391779,803
24,moderate,1967,radio/TV,2,2,female,female,moderate,radio/TV,,kaggle,little,own,good,20,391779,410
13,moderate,dfas,radio/TV,1,1,female,female,moderate,radio/TV,,kaggle,little,own,good,23,391779,336
6,,,car,,,,,,car,,kaggle,,,good,,391779,
30,NA,2831,radio/TV,2,2,female,female,NA,radio/TV,,kaggle,little,own,good,33,391779,974
18,NA,6458,car,3,3,male,male,NA,car,,kaggle,little,own,bad,39,391779,106
